metric,k1,k3,k5,k10,k20
NDCG,0.9574,0.969,0.9712,0.9731,0.9745
MAP,0.9574,0.9662,0.9674,0.9682,0.9687
MRR,0.9576,0.9663,0.9676,0.9684,0.9688
Recall,0.9574,0.9769,0.9822,0.9881,0.9937
Precision,0.9574,0.3256,0.1965,0.0988,0.0497
