metric,k1,k3,k5,k10,k20
NDCG,0.0746,0.1064,0.1261,0.1717,0.2302
MAP,0.0746,0.0982,0.109,0.1277,0.1435
MRR,0.0746,0.0986,0.1092,0.128,0.1438
Recall,0.0746,0.1304,0.179,0.3201,0.5531
Precision,0.0746,0.0435,0.0358,0.032,0.0277
