metric,k1,k3,k5,k10,k20
NDCG,0.0177,0.0263,0.0353,0.0504,0.0797
MAP,0.0177,0.024,0.029,0.0347,0.0426
MRR,0.0177,0.024,0.0289,0.0347,0.0429
Recall,0.0177,0.0332,0.0553,0.104,0.2212
Precision,0.0177,0.0111,0.0111,0.0104,0.0111
