metric,k1,k3,k5,k10,k20
NDCG,0.0107,0.0214,0.0324,0.0534,0.0822
MAP,0.0107,0.0185,0.0246,0.033,0.0408
MRR,0.011,0.0187,0.0248,0.0334,0.0411
Recall,0.0107,0.0297,0.0568,0.1227,0.238
Precision,0.0107,0.0099,0.0114,0.0123,0.0119
