metric,k1,k3,k5,k10,k20
NDCG,0.0336,0.06,0.0737,0.0972,0.1293
MAP,0.0336,0.0536,0.0612,0.0708,0.0795
MRR,0.0353,0.0547,0.0627,0.0722,0.081
Recall,0.0336,0.0787,0.1119,0.1849,0.3123
Precision,0.0336,0.0262,0.0224,0.0185,0.0156
