metric,k1,k3,k5,k10,k20
NDCG,0.3136,0.528,0.712,0.712,0.712
MAP,0.1568,0.4132,0.5875,0.5875,0.5875
MRR,0.3158,0.5962,0.5962,0.5962,0.5962
Recall,0.1568,0.6515,1.0,1.0,1.0
Precision,0.3136,0.4342,0.3999,0.2,0.1
