metric,k1,k3,k5,k10,k20
NDCG,0.6213,0.6482,0.6773,0.7321,0.7879
MAP,0.0741,0.1968,0.2994,0.4774,0.6323
MRR,0.6283,0.7377,0.7519,0.7585,0.7599
Recall,0.0741,0.2454,0.3969,0.6627,0.8902
Precision,0.6213,0.6324,0.6355,0.5985,0.478
