metric,k1,k3,k5,k10,k20
NDCG,0.0357,0.0396,0.0458,0.0672,0.105
MAP,0.0106,0.0202,0.0257,0.0343,0.0446
MRR,0.0373,0.0637,0.0747,0.0901,0.1031
Recall,0.0106,0.0328,0.053,0.1063,0.2144
Precision,0.0357,0.0346,0.0337,0.0339,0.0345
