metric,k1,k3,k5,k10,k20
NDCG,0.7775,0.7979,0.8013,0.8055,0.8085
MAP,0.7775,0.7932,0.7951,0.7968,0.7976
MRR,0.7795,0.7942,0.7961,0.7979,0.7987
Recall,0.7775,0.8114,0.8198,0.8326,0.8447
Precision,0.7775,0.2705,0.164,0.0833,0.0422
