metric,k1,k3,k5,k10,k20
NDCG,0.9677,0.9772,0.9804,0.9814,0.9821
MAP,0.9677,0.9751,0.9769,0.9773,0.9775
MRR,0.9677,0.9751,0.9769,0.9773,0.9775
Recall,0.9677,0.9831,0.9908,0.9939,0.9969
Precision,0.9677,0.3277,0.1981,0.0994,0.0498
