metric,k1,k3,k5,k10,k20
NDCG,0.7159,0.8178,0.8765,0.8765,0.8765
MAP,0.3582,0.7567,0.8124,0.8124,0.8124
MRR,0.987,0.9929,0.9929,0.9929,0.9929
Recall,0.3582,0.8887,1.0,1.0,1.0
Precision,0.7159,0.5923,0.3999,0.2,0.1
