metric,k1,k3,k5,k10,k20
NDCG,0.3103,0.3749,0.3896,0.4095,0.428
MAP,0.3103,0.3588,0.367,0.3752,0.3802
MRR,0.3103,0.3588,0.367,0.3752,0.3803
Recall,0.3103,0.4217,0.4571,0.5186,0.5922
Precision,0.3103,0.1406,0.0914,0.0519,0.0296
