metric,k1,k3,k5,k10,k20
NDCG,0.0216,0.0366,0.0464,0.0651,0.0858
MAP,0.0216,0.0328,0.0382,0.0456,0.0511
MRR,0.0234,0.0358,0.0405,0.0481,0.0537
Recall,0.0216,0.0477,0.0719,0.1313,0.214
Precision,0.0216,0.0159,0.0144,0.0131,0.0107
