metric,k1,k3,k5,k10,k20
NDCG,0.5694,0.683,0.7464,0.7601,0.7715
MAP,0.5694,0.6551,0.6905,0.6964,0.6999
MRR,0.5694,0.6551,0.6905,0.6964,0.6999
Recall,0.5694,0.7639,0.9167,0.9583,1.0
Precision,0.5694,0.2546,0.1833,0.0958,0.05
