metric,k1,k3,k5,k10,k20
NDCG,0.9872,0.9921,0.9935,0.9935,0.9937
MAP,0.9872,0.9909,0.9917,0.9917,0.9918
MRR,0.9872,0.9909,0.9917,0.9917,0.9918
Recall,0.9872,0.9954,0.9988,0.9988,0.9994
Precision,0.9872,0.3318,0.1998,0.0999,0.05
