metric,k1,k3,k5,k10,k20
NDCG,0.9751,0.9849,0.9865,0.9869,0.9872
MAP,0.9751,0.9827,0.9835,0.9837,0.9838
MRR,0.9751,0.9827,0.9835,0.9837,0.9838
Recall,0.9751,0.9915,0.9952,0.9965,0.9976
Precision,0.9751,0.3305,0.1991,0.0997,0.0499
