metric,k1,k3,k5,k10,k20
NDCG,0.9167,0.9444,0.9504,0.9554,0.9554
MAP,0.9167,0.9352,0.9387,0.941,0.941
MRR,0.9167,0.9352,0.9387,0.941,0.941
Recall,0.9167,0.9722,0.9861,1.0,1.0
Precision,0.9167,0.3241,0.1972,0.1,0.05
