metric,k1,k3,k5,k10,k20
NDCG,1.0,1.0,1.0,1.0,1.0
MAP,1.0,1.0,1.0,1.0,1.0
MRR,1.0,1.0,1.0,1.0,1.0
Recall,1.0,1.0,1.0,1.0,1.0
Precision,1.0,0.3333,0.2,0.1,0.05
