metric,k1,k3,k5,k10,k20
NDCG,0.8176,0.864,0.8725,0.8807,0.8857
MAP,0.8176,0.8528,0.8576,0.861,0.8624
MRR,0.8176,0.8529,0.8576,0.861,0.8624
Recall,0.8176,0.896,0.9167,0.9416,0.9615
Precision,0.8176,0.2987,0.1833,0.0942,0.0481
