metric,k1,k3,k5,k10,k20
NDCG,0.9897,0.993,0.9938,0.9941,0.9942
MAP,0.9897,0.9922,0.9927,0.9928,0.9928
MRR,0.9897,0.9922,0.9927,0.9928,0.9928
Recall,0.9897,0.9952,0.9973,0.9982,0.9986
Precision,0.9897,0.3317,0.1994,0.0998,0.0499
