metric,k1,k3,k5,k10,k20
NDCG,0.7634,0.7912,0.7955,0.7998,0.8063
MAP,0.7634,0.7845,0.7869,0.7886,0.7904
MRR,0.765,0.7854,0.7878,0.7895,0.7913
Recall,0.7634,0.8108,0.8212,0.8343,0.8602
Precision,0.7634,0.2702,0.1642,0.0834,0.043
