metric,k1,k3,k5,k10,k20
NDCG,0.9262,0.9415,0.9472,0.9497,0.9524
MAP,0.9262,0.9379,0.9412,0.9422,0.9429
MRR,0.9262,0.9379,0.9412,0.9422,0.9429
Recall,0.9262,0.9515,0.9654,0.9731,0.9839
Precision,0.9262,0.3172,0.1931,0.0973,0.0492
