metric,k1,k3,k5,k10,k20
NDCG,0.9154,0.9214,0.9215,0.9223,0.9235
MAP,0.9154,0.9201,0.9202,0.9205,0.9208
MRR,0.9154,0.9201,0.9202,0.9205,0.9208
Recall,0.9154,0.9251,0.9255,0.9279,0.9326
Precision,0.9154,0.3084,0.1851,0.0928,0.0466
