metric,k1,k3,k5,k10,k20
NDCG,0.9969,0.9969,0.9969,0.9969,0.9969
MAP,0.9969,0.9969,0.9969,0.9969,0.9969
MRR,0.9969,0.9969,0.9969,0.9969,0.9969
Recall,0.9969,0.9969,0.9969,0.9969,0.9969
Precision,0.9969,0.3323,0.1994,0.0997,0.0498
