metric,k1,k3,k5,k10,k20
NDCG,0.0155,0.0301,0.0411,0.0611,0.0887
MAP,0.0155,0.0263,0.0324,0.0406,0.048
MRR,0.0155,0.0265,0.0326,0.0408,0.0483
Recall,0.0155,0.0413,0.068,0.1303,0.2405
Precision,0.0155,0.0138,0.0136,0.013,0.012
