metric,k1,k3,k5,k10,k20
NDCG,0.018,0.0377,0.0517,0.0758,0.1042
MAP,0.018,0.0326,0.0403,0.0501,0.0578
MRR,0.0184,0.0329,0.0408,0.0505,0.0582
Recall,0.018,0.0526,0.0868,0.162,0.2756
Precision,0.018,0.0175,0.0174,0.0162,0.0138
