metric,k1,k3,k5,k10,k20
NDCG,0.286,0.4155,0.4489,0.4767,0.4946
MAP,0.286,0.3835,0.4021,0.4137,0.4185
MRR,0.295,0.3889,0.4071,0.4186,0.4235
Recall,0.286,0.5081,0.589,0.6745,0.7455
Precision,0.286,0.1694,0.1178,0.0674,0.0373
