metric,k1,k3,k5,k10,k20
NDCG,0.9972,0.9982,0.9985,0.9985,0.9986
MAP,0.9972,0.998,0.9981,0.9982,0.9982
MRR,0.9972,0.998,0.9981,0.9982,0.9982
Recall,0.9972,0.9987,0.9994,0.9996,0.9999
Precision,0.9972,0.3329,0.1999,0.1,0.05
