metric,k1,k3,k5,k10,k20
NDCG,0.9951,0.9964,0.9964,0.9964,0.9966
MAP,0.9951,0.9961,0.9961,0.9961,0.9962
MRR,0.9951,0.9961,0.9961,0.9961,0.9962
Recall,0.9951,0.9972,0.9972,0.9972,0.9979
Precision,0.9951,0.3324,0.1994,0.0997,0.0499
