metric,k1,k3,k5,k10,k20
NDCG,0.9444,0.9532,0.9639,0.9639,0.9672
MAP,0.9444,0.9514,0.9569,0.9569,0.9577
MRR,0.9444,0.9514,0.9569,0.9569,0.9577
Recall,0.9444,0.9583,0.9861,0.9861,1.0
Precision,0.9444,0.3194,0.1972,0.0986,0.05
