metric,k1,k3,k5,k10,k20
NDCG,0.6591,0.6801,0.7017,0.7537,0.8062
MAP,0.0901,0.218,0.319,0.4981,0.6531
MRR,0.6683,0.7727,0.7842,0.7893,0.7903
Recall,0.0901,0.2617,0.4077,0.671,0.8942
Precision,0.6591,0.6577,0.6478,0.6058,0.4803
