metric,k1,k3,k5,k10,k20
NDCG,0.113,0.1649,0.1795,0.1958,0.2092
MAP,0.113,0.1525,0.1606,0.1674,0.171
MRR,0.1129,0.1537,0.1612,0.1679,0.1716
Recall,0.113,0.2006,0.2361,0.2865,0.3397
Precision,0.113,0.0669,0.0472,0.0286,0.017
