metric,k1,k3,k5,k10,k20
NDCG,0.2746,0.3309,0.3508,0.3721,0.3928
MAP,0.2746,0.3171,0.3281,0.3369,0.3425
MRR,0.2746,0.3171,0.3281,0.3369,0.3425
Recall,0.2746,0.3709,0.4192,0.4853,0.5676
Precision,0.2746,0.1236,0.0838,0.0485,0.0284
