metric,k1,k3,k5,k10,k20
NDCG,0.0457,0.0566,0.0606,0.0664,0.0731
MAP,0.0457,0.0538,0.056,0.0584,0.0603
MRR,0.0457,0.0538,0.056,0.0584,0.0603
Recall,0.0457,0.0647,0.0745,0.0928,0.119
Precision,0.0457,0.0215,0.0149,0.0093,0.006
