metric,k1,k3,k5,k10,k20
NDCG,0.2779,0.3835,0.4111,0.4318,0.4568
MAP,0.2779,0.3584,0.3737,0.3824,0.389
MRR,0.2905,0.3656,0.3809,0.3895,0.3961
Recall,0.2779,0.4559,0.5225,0.5863,0.6871
Precision,0.2779,0.152,0.1045,0.0586,0.0343
