metric,k1,k3,k5,k10,k20
NDCG,0.9971,0.9984,0.9985,0.9986,0.9986
MAP,0.9971,0.9981,0.9982,0.9982,0.9982
MRR,0.9976,0.9984,0.9985,0.9985,0.9985
Recall,0.9971,0.9992,0.9996,0.9999,0.9999
Precision,0.9971,0.3331,0.1999,0.1,0.05
