metric,k1,k3,k5,k10,k20
NDCG,0.0694,0.1586,0.2094,0.2526,0.3495
MAP,0.0694,0.1366,0.1643,0.1813,0.2071
MRR,0.0694,0.1366,0.1644,0.1813,0.2071
Recall,0.0694,0.2222,0.3472,0.4861,0.875
Precision,0.0694,0.0741,0.0694,0.0486,0.0437
