metric,k1,k3,k5,k10,k20
NDCG,0.0174,0.0233,0.0243,0.0261,0.0304
MAP,0.0174,0.0217,0.0223,0.023,0.0242
MRR,0.0174,0.0218,0.0223,0.023,0.0242
Recall,0.0174,0.0278,0.0302,0.036,0.0534
Precision,0.0174,0.0093,0.006,0.0036,0.0027
