metric,k1,k3,k5,k10,k20
NDCG,0.0331,0.0423,0.0464,0.0531,0.0601
MAP,0.0331,0.04,0.0423,0.045,0.0469
MRR,0.0331,0.04,0.0423,0.045,0.0469
Recall,0.0331,0.0489,0.059,0.0798,0.1081
Precision,0.0331,0.0163,0.0118,0.008,0.0054
