metric,k1,k3,k5,k10,k20
NDCG,0.0018,0.0053,0.0057,0.0085,0.0116
MAP,0.0018,0.0043,0.0046,0.0056,0.0065
MRR,0.0018,0.0039,0.0043,0.0054,0.0063
Recall,0.0018,0.0081,0.009,0.018,0.0306
Precision,0.0018,0.0027,0.0018,0.0018,0.0015
