metric,k1,k3,k5,k10,k20
NDCG,0.9475,0.9726,0.9745,0.9756,0.9764
MAP,0.9475,0.9668,0.9679,0.9684,0.9686
MRR,0.946,0.966,0.9671,0.9676,0.9678
Recall,0.9475,0.9892,0.9938,0.9969,1.0
Precision,0.9475,0.3297,0.1988,0.0997,0.05
