metric,k1,k3,k5,k10,k20
NDCG,0.1151,0.261,0.3566,0.5043,0.6292
MAP,0.0144,0.0751,0.1496,0.3109,0.4718
MRR,0.9849,0.9897,0.9902,0.9905,0.9905
Recall,0.0144,0.1268,0.2642,0.5595,0.8465
Precision,0.1151,0.2896,0.3859,0.4775,0.4464
