metric,k1,k3,k5,k10,k20
NDCG,0.0063,0.0192,0.0284,0.0418,0.0641
MAP,0.0063,0.0156,0.0207,0.0261,0.0321
MRR,0.0063,0.0156,0.0209,0.0261,0.0323
Recall,0.0063,0.0297,0.0522,0.0944,0.1835
Precision,0.0063,0.0099,0.0104,0.0094,0.0092
