metric,k1,k3,k5,k10,k20
NDCG,0.0556,0.099,0.1373,0.2159,0.31
MAP,0.0556,0.0857,0.1058,0.1369,0.1625
MRR,0.0556,0.0856,0.1058,0.1372,0.1627
Recall,0.0556,0.1389,0.2361,0.4861,0.8611
Precision,0.0556,0.0463,0.0472,0.0486,0.0431
