metric,k1,k3,k5,k10,k20
NDCG,0.0164,0.0349,0.0471,0.0689,0.0984
MAP,0.0164,0.0301,0.0368,0.0458,0.0537
MRR,0.0166,0.0304,0.0372,0.0461,0.0541
Recall,0.0164,0.0488,0.0787,0.1465,0.2645
Precision,0.0164,0.0163,0.0157,0.0146,0.0132
