metric,k1,k3,k5,k10,k20
NDCG,0.9631,0.9764,0.9789,0.98,0.9804
MAP,0.9631,0.9731,0.9745,0.9749,0.975
MRR,0.9631,0.9731,0.9745,0.9749,0.9751
Recall,0.9631,0.9861,0.9923,0.9954,0.9969
Precision,0.9631,0.3287,0.1985,0.0995,0.0498
