metric,k1,k3,k5,k10,k20
NDCG,0.7583,0.7798,0.7838,0.7895,0.7952
MAP,0.7583,0.7748,0.777,0.7793,0.7808
MRR,0.7613,0.7765,0.7786,0.781,0.7826
Recall,0.7583,0.7943,0.804,0.8218,0.8447
Precision,0.7583,0.2648,0.1608,0.0822,0.0422
