metric,k1,k3,k5,k10,k20
NDCG,0.0602,0.094,0.1061,0.1215,0.1343
MAP,0.0602,0.0859,0.0927,0.099,0.1024
MRR,0.0602,0.0859,0.093,0.0991,0.1025
Recall,0.0602,0.1173,0.1466,0.1944,0.2454
Precision,0.0602,0.0391,0.0293,0.0194,0.0123
