metric,k1,k3,k5,k10,k20
NDCG,0.0683,0.123,0.1538,0.1944,0.2242
MAP,0.0683,0.1096,0.1264,0.1432,0.1513
MRR,0.0728,0.1144,0.1303,0.1474,0.1549
Recall,0.0683,0.1619,0.2374,0.3633,0.4811
Precision,0.0683,0.054,0.0475,0.0363,0.0241
