metric,k1,k3,k5,k10,k20
NDCG,0.9872,0.9921,0.9931,0.9933,0.9935
MAP,0.9872,0.991,0.9916,0.9917,0.9917
MRR,0.9872,0.991,0.9916,0.9917,0.9917
Recall,0.9872,0.9954,0.9977,0.9983,0.9988
Precision,0.9872,0.3318,0.1995,0.0998,0.0499
