metric,k1,k3,k5,k10,k20
NDCG,0.3926,0.5955,0.7467,0.7467,0.7467
MAP,0.1963,0.4913,0.6346,0.6346,0.6346
MRR,0.3937,0.6489,0.6489,0.6489,0.6489
Recall,0.1963,0.7136,1.0,1.0,1.0
Precision,0.3926,0.4755,0.3999,0.2,0.1
