metric,k1,k3,k5,k10,k20
NDCG,0.5087,0.5991,0.6207,0.6409,0.6534
MAP,0.5087,0.5775,0.5894,0.5978,0.6012
MRR,0.5087,0.5774,0.5894,0.5978,0.6012
Recall,0.5087,0.6617,0.7143,0.7766,0.8256
Precision,0.5087,0.2205,0.1429,0.0777,0.0413
