metric,k1,k3,k5,k10,k20
NDCG,0.5365,0.6108,0.6271,0.6401,0.6473
MAP,0.5365,0.593,0.6021,0.6075,0.6095
MRR,0.5361,0.5933,0.602,0.6074,0.6094
Recall,0.5365,0.6619,0.7015,0.7415,0.7694
Precision,0.5365,0.2206,0.1403,0.0741,0.0385
