metric,k1,k3,k5,k10,k20
NDCG,0.8913,0.929,0.9341,0.9383,0.941
MAP,0.8913,0.9202,0.9231,0.9248,0.9256
MRR,0.8913,0.9202,0.9231,0.9248,0.9256
Recall,0.8913,0.954,0.9667,0.9793,0.99
Precision,0.8913,0.318,0.1933,0.0979,0.0495
