metric,k1,k3,k5,k10,k20
NDCG,0.0187,0.0518,0.0659,0.0959,0.125
MAP,0.0187,0.0437,0.0516,0.0637,0.0716
MRR,0.0187,0.0453,0.0523,0.0648,0.0725
Recall,0.0187,0.075,0.1094,0.2031,0.3187
Precision,0.0187,0.025,0.0219,0.0203,0.0159
