metric,k1,k3,k5,k10,k20
NDCG,0.0225,0.0408,0.0547,0.0768,0.1095
MAP,0.0225,0.036,0.0437,0.0527,0.0614
MRR,0.023,0.0366,0.0443,0.0533,0.0621
Recall,0.0225,0.0548,0.0887,0.1578,0.289
Precision,0.0225,0.0182,0.0177,0.0158,0.0144
