metric,k1,k3,k5,k10,k20
NDCG,0.0287,0.0572,0.0753,0.1026,0.1382
MAP,0.0287,0.0497,0.0597,0.0709,0.0805
MRR,0.0295,0.0505,0.0605,0.0717,0.0813
Recall,0.0287,0.079,0.1231,0.208,0.3503
Precision,0.0287,0.0263,0.0246,0.0208,0.0175
