metric,k1,k3,k5,k10,k20
NDCG,0.9731,0.9815,0.9831,0.984,0.9847
MAP,0.9731,0.9795,0.9804,0.9808,0.981
MRR,0.9731,0.9795,0.9804,0.9808,0.981
Recall,0.9731,0.9871,0.9909,0.994,0.9964
Precision,0.9731,0.329,0.1982,0.0994,0.0498
