metric,k1,k3,k5,k10,k20
NDCG,0.0972,0.1758,0.2367,0.3033,0.3728
MAP,0.0972,0.1551,0.1877,0.2148,0.2335
MRR,0.0972,0.1551,0.1877,0.2148,0.2335
Recall,0.0972,0.2361,0.3889,0.5972,0.875
Precision,0.0972,0.0787,0.0778,0.0597,0.0437
