metric,k1,k3,k5,k10,k20
NDCG,0.144,0.1822,0.1953,0.2139,0.2295
MAP,0.144,0.1728,0.18,0.1877,0.1919
MRR,0.144,0.1728,0.18,0.1877,0.1919
Recall,0.144,0.2096,0.2416,0.2988,0.3611
Precision,0.144,0.0698,0.0483,0.0299,0.0181
