metric,k1,k3,k5,k10,k20
NDCG,0.0957,0.1261,0.1373,0.1507,0.1636
MAP,0.0957,0.1186,0.1247,0.13,0.1334
MRR,0.0957,0.1186,0.1247,0.13,0.1334
Recall,0.0957,0.1479,0.1757,0.2181,0.2697
Precision,0.0957,0.0493,0.0352,0.0218,0.0135
