metric,k1,k3,k5,k10,k20
NDCG,0.0063,0.0151,0.0191,0.0283,0.0392
MAP,0.0063,0.0129,0.015,0.0188,0.0218
MRR,0.0063,0.012,0.0148,0.0184,0.0215
Recall,0.0063,0.0216,0.0315,0.0602,0.1034
Precision,0.0063,0.0072,0.0063,0.006,0.0052
