metric,k1,k3,k5,k10,k20
NDCG,0.4895,0.4766,0.5006,0.5581,0.6026
MAP,0.1995,0.3378,0.3956,0.4517,0.4795
MRR,0.5219,0.6045,0.6211,0.6286,0.6301
Recall,0.1995,0.3951,0.5161,0.6719,0.7836
Precision,0.4895,0.3739,0.3092,0.2154,0.132
