metric,k1,k3,k5,k10,k20
NDCG,0.765,0.7742,0.7875,0.8194,0.8539
MAP,0.1121,0.2666,0.3802,0.5662,0.7178
MRR,0.7709,0.8462,0.854,0.8573,0.8577
Recall,0.1121,0.3037,0.4533,0.7049,0.9056
Precision,0.765,0.741,0.7161,0.6404,0.4899
